Date,State,State_code,District,District_code,Rice Allocated,Wheat Allocated,Rice Distributed,Wheat Distributed,Performance (Rice),Performance (Wheat),Waste (Rice),Waste (Wheat),Year,Month,Total Allocated,Total Distributed,,
01-11-2017,Madhya Pradesh,23,Bhind,395,685.72,2894.97,400.08,1651.43,58.34%,57.04%,285.64,1243.54,2017,Nov,3580.69,2051.51,,
01-11-2017,Odisha,21,Mayurbhanj,365,11558.71,860.73,10631.4,790.77,91.98%,91.87%,927.31,69.96,2017,Nov,12419.44,11422.17,,
01-11-2017,Maharashtra,27,Ahmadnagar,466,6721.75,10082.63,65.62,2.44,0.98%,0.02%,6656.13,10080.19,2017,Nov,16804.38,68.06,,
01-11-2017,Madhya Pradesh,23,Satna,426,2453.87,7301.6,954.47,3418.11,38.90%,46.81%,1499.4,3883.49,2017,Nov,9755.47,4372.58,,
01-11-2017,Odisha,21,Kendrapara,360,4233.48,1728.89,4058.46,1653.02,95.87%,95.61%,175.02,75.87,2017,Nov,5962.37,5711.48,,
01-11-2017,Jharkhand,20,Giridih,329,9563.07,1411.62,7113.18,1054.29,74.38%,74.69%,2449.89,357.33,2017,Nov,10974.69,8167.47,,
01-11-2017,Madhya Pradesh,23,Jhabua,412,1276.09,5363.69,473.82,2007.76,37.13%,37.43%,802.27,3355.93,2017,Nov,6639.78,2481.58,,
01-11-2017,Odisha,21,Sambalpur,371,3825.78,536.68,3508.18,485.18,91.70%,90.40%,317.6,51.5,2017,Nov,4362.46,3993.36,,
01-11-2017,Jharkhand,20,Dumka,326,5472.25,730.19,4733.82,625.56,86.51%,85.67%,738.43,104.63,2017,Nov,6202.44,5359.38,,
01-11-2017,Madhya Pradesh,23,Mandla,415,2972.12,3168.01,542.6,589.59,18.26%,18.61%,2429.52,2578.42,2017,Nov,6140.13,1132.19,,
01-11-2017,Uttar Pradesh,9,Budaun,133,5032.88,7436.27,513.82,759.6,10.21%,10.21%,4519.06,6676.67,2017,Nov,12469.15,1273.42,,
01-11-2017,Tamil Nadu,33,Dharmapuri,571,17151.28,653.57,5594.6,189.98,32.62%,29.07%,11556.68,463.59,2017,Nov,17804.85,5784.58,,
01-11-2017,Jharkhand,20,Pakur,337,3604.83,545.07,3692.42,564.98,102.43%,103.65%,-87.59,-19.91,2017,Nov,4149.9,4257.4,,
01-11-2017,Madhya Pradesh,23,Burhanpur,397,564.87,2340.87,503.95,2070.15,89.22%,88.44%,60.92,270.72,2017,Nov,2905.74,2574.1,,
01-11-2017,Gujarat,24,Patan,455,2115.06,3284.62,54.63,54.63,2.58%,1.66%,2060.43,3229.99,2017,Nov,5399.68,109.26,,
01-11-2017,Odisha,21,Anugul,344,4351.67,909.34,4259.79,897.17,97.89%,98.66%,91.88,12.17,2017,Nov,5261.01,5156.96,,
01-11-2017,Uttar Pradesh,9,Hardoi,150,7127.5,10396.94,361.59,541.02,5.07%,5.20%,6765.91,9855.92,2017,Nov,17524.44,902.61,,
01-11-2017,Odisha,21,Nayagarh,367,3448.79,676.38,2816.8,520.52,81.68%,76.96%,631.99,155.86,2017,Nov,4125.17,3337.32,,
01-11-2017,Maharashtra,27,Ratnagiri,492,4017.66,2393.27,17.57,12,0.44%,0.50%,4000.09,2381.27,2017,Nov,6410.93,29.57,,
01-11-2017,Maharashtra,27,Thane,497,8718.59,10551.3,60.15,81.91,0.69%,0.78%,8658.44,10469.39,2017,Nov,19269.89,142.06,,
01-11-2017,Madhya Pradesh,23,Alirajpur,639,824.82,3391.96,298.52,1215.46,36.19%,35.83%,526.3,2176.5,2017,Nov,4216.78,1513.98,,
01-11-2017,Maharashtra,27,Chandrapur,473,3734.16,5253.73,51.79,61.76,1.39%,1.18%,3682.37,5191.97,2017,Nov,8987.89,113.55,,
01-11-2017,Telangana,36,Kamareddy,685,3655.34,8.52,3499.09,0.09,95.73%,1.06%,156.25,8.43,2017,Nov,3663.86,3499.18,,
01-11-2017,Madhya Pradesh,23,Sagar,425,1650.35,7050.66,1086.37,4583.49,65.83%,65.01%,563.98,2467.17,2017,Nov,8701.01,5669.86,,
01-11-2017,Uttar Pradesh,9,Chitrakoot,136,1825,2680.57,125.91,184.57,6.90%,6.89%,1699.09,2496,2017,Nov,4505.57,310.48,,
01-11-2017,Uttar Pradesh,9,Hathras,163,2481.28,3679.79,321.73,479.18,12.97%,13.02%,2159.55,3200.61,2017,Nov,6161.07,800.91,,
01-11-2017,Madhya Pradesh,23,Neemuch,419,565.78,2386.46,236.64,1010.58,41.83%,42.35%,329.14,1375.88,2017,Nov,2952.24,1247.22,,
01-11-2017,Maharashtra,27,Dhule,474,3564.51,5346.76,20.5,28.92,0.58%,0.54%,3544.01,5317.84,2017,Nov,8911.27,49.42,,
01-11-2017,Gujarat,24,Mahesana,451,3029.32,4607.73,4076.12,4076.12,134.56%,88.46%,-1046.8,531.61,2017,Nov,7637.05,8152.24,,
01-11-2017,Gujarat,24,Junagadh,448,1881.47,2906.44,2685.72,2685.72,142.75%,92.41%,-804.25,220.72,2017,Nov,4787.91,5371.44,,
01-11-2017,Uttar Pradesh,9,Rampur,176,3734.43,5515,437.18,646.77,11.71%,11.73%,3297.25,4868.23,2017,Nov,9249.43,1083.95,,
01-11-2017,Maharashtra,27,Palghar,665,7237.94,4213.86,29.51,11.59,0.41%,0.28%,7208.43,4202.27,2017,Nov,11451.8,41.1,,
01-11-2017,Uttar Pradesh,9,Mathura,167,4110.39,6062,524.39,775.21,12.76%,12.79%,3586,5286.79,2017,Nov,10172.39,1299.6,,
01-11-2017,Gujarat,24,Devbhumi Dwarka,674,1104.84,1688.75,1564.6,1564.6,141.61%,92.65%,-459.76,124.15,2017,Nov,2793.59,3129.2,,
01-11-2017,Uttar Pradesh,9,Sultanpur,185,4252.67,6177.99,169.12,249.18,3.98%,4.03%,4083.55,5928.81,2017,Nov,10430.66,418.3,,
01-11-2017,Tamil Nadu,33,Krishnagiri,577,20077.99,1187.08,5895.66,295.93,29.36%,24.93%,14182.33,891.15,2017,Nov,21265.07,6191.59,,
01-11-2017,Odisha,21,Gajapati,353,2527.53,111.54,2357.94,99.96,93.29%,89.62%,169.59,11.58,2017,Nov,2639.07,2457.9,,
01-11-2017,Tamil Nadu,33,The Nilgiris,587,9066.22,428.29,2441.44,100.58,26.93%,23.48%,6624.78,327.71,2017,Nov,9494.51,2542.02,,
01-11-2017,Madhya Pradesh,23,Dindori,404,2422.62,1573.25,387.49,265.86,15.99%,16.90%,2035.13,1307.39,2017,Nov,3995.87,653.35,,
01-11-2017,Telangana,36,Rangareddy,518,7771.23,174.73,6895.25,68.36,88.73%,39.12%,875.98,106.37,2017,Nov,7945.96,6963.61,,
01-11-2017,Tamil Nadu,33,Thanjavur,586,26379.96,971,8050.49,245.1,30.52%,25.24%,18329.47,725.9,2017,Nov,27350.96,8295.59,,
01-11-2017,Gujarat,24,Bhavnagar,443,3653.47,5607.94,5203.23,5203.23,142.42%,92.78%,-1549.76,404.71,2017,Nov,9261.41,10406.46,,
01-11-2017,Uttar Pradesh,9,Kanpur Nagar,157,6575.29,9705.07,2303.67,3415.03,35.04%,35.19%,4271.62,6290.04,2017,Nov,16280.36,5718.7,,
01-11-2017,Gujarat,24,Surendranagar,460,2369.74,3646.95,3096.62,3096.62,130.67%,84.91%,-726.88,550.33,2017,Nov,6016.69,6193.24,,
01-11-2017,Maharashtra,27,Aurangabad,469,4422.29,6633.44,33.44,30.89,0.76%,0.47%,4388.85,6602.55,2017,Nov,11055.73,64.33,,
01-11-2017,Madhya Pradesh,23,Sidhi,433,2190.15,3181.87,1160.41,1935.47,52.98%,60.83%,1029.74,1246.4,2017,Nov,5372.02,3095.88,,
01-11-2017,Madhya Pradesh,23,Raisen,421,974.14,4185.7,251.21,1061.02,25.79%,25.35%,722.93,3124.68,2017,Nov,5159.84,1312.23,,
01-11-2017,Uttar Pradesh,9,Gorakhpur,148,7431.88,10831.84,609.85,894.08,8.21%,8.25%,6822.03,9937.76,2017,Nov,18263.72,1503.93,,
01-11-2017,Tamil Nadu,33,Chennai,568,45802.71,3358.91,5988.73,393.12,13.08%,11.70%,39813.98,2965.79,2017,Nov,49161.62,6381.85,,
01-11-2017,Uttar Pradesh,9,Faizabad,140,4068.98,5945.99,407.24,598.81,10.01%,10.07%,3661.74,5347.18,2017,Nov,10014.97,1006.05,,
01-11-2017,Uttar Pradesh,9,Etawah,139,2747.53,4006.1,390.81,578.29,14.22%,14.44%,2356.72,3427.81,2017,Nov,6753.63,969.1,,
01-11-2017,Telangana,36,Nizamabad,516,5051.69,98.18,4883.7,3.87,96.67%,3.94%,167.99,94.31,2017,Nov,5149.87,4887.57,,
01-11-2017,Maharashtra,27,Bhandara,471,3230.45,1732.62,35.21,25.15,1.09%,1.45%,3195.24,1707.47,2017,Nov,4963.07,60.36,,
01-11-2017,Maharashtra,27,Sangli,493,3689.38,5534.08,45.41,72.35,1.23%,1.31%,3643.97,5461.73,2017,Nov,9223.46,117.76,,
01-11-2017,Tamil Nadu,33,Vellore,595,40291.86,2184.05,9705.63,388.56,24.09%,17.79%,30586.23,1795.49,2017,Nov,42475.91,10094.19,,
01-11-2017,Jharkhand,20,Deoghar,324,5323.94,669.16,4921.38,606.54,92.44%,90.64%,402.56,62.62,2017,Nov,5993.1,5527.92,,
